top - 11:26:42 up 22 min,  3 users,  load average: 3.4
Tasks: 204 total,   9 running, 195 sleeping,   0 stopp
%Cpu(s): 77.8 us, 22.2 sy,  0.0 ni,  0.0 id,  0.0 wa, 
KiB Mem :  1014756 total,    69872 free,   881304 used
KiB Swap:   839676 total,        0 free,   839676 used

  PID USER      PR  NI    VIRT    RES    SHR S %CPU
 6762 alyonas+  20   0  578980 309204    408 R 31.6
 6763 alyonas+  20   0  582280 310748    492 R 26.3
   30 root      20   0       0      0      0 S 10.5
 1935 alyonas+  20   0 2994028  63824   8104 R  5.3
    1 root      20   0  193820    676    152 S  0.0
    2 root      20   0       0      0      0 S  0.0
    4 root       0 -20       0      0      0 S  0.0
    5 root      20   0       0      0      0 S  0.0
    6 root      20   0       0      0      0 S  0.0
    7 root      rt   0       0      0      0 S  0.0
    8 root      20   0       0      0      0 S  0.0
    9 root      20   0       0      0      0 S  0.0
   10 root       0 -20       0      0      0 S  0.0
   11 root      rt   0       0      0      0 S  0.0
   13 root      20   0       0      0      0 S  0.0
   14 root       0 -20       0      0      0 S  0.0
   15 root      20   0       0      0      0 S  0.0
   16 root       0 -20       0      0      0 S  0.0
   17 root       0 -20       0      0      0 S  0.0
   18 root       0 -20       0      0      0 S  0.0
   19 root       0 -20       0      0      0 S  0.0
   20 root       0 -20       0      0      0 S  0.0
   21 root       0 -20       0      0      0 S  0.0
   22 root       0 -20       0      0      0 S  0.0
   23 root       0 -20       0      0      0 S  0.0
   24 root       0 -20       0      0      0 S  0.0
   31 root      25   5       0      0      0 S  0.0
   32 root      39  19       0      0      0 S  0.0
   33 root       0 -20       0      0      0 S  0.0
   41 root       0 -20       0      0      0 S  0.0
   43 root       0 -20       0      0      0 S  0.0
   44 root       0 -20       0      0      0 S  0.0
   45 root       0 -20       0      0      0 S  0.0
   46 root       0 -20       0      0      0 S  0.0
   60 root       0 -20       0      0      0 S  0.0
   95 root      20   0       0      0      0 S  0.0
  281 root       0 -20       0      0      0 S  0.0
  284 root      20   0       0      0      0 S  0.0
  286 root       0 -20       0      0      0 S  0.0
  287 root      20   0       0      0      0 S  0.0
  288 root       0 -20       0      0      0 S  0.0
  289 root      20   0       0      0      0 S  0.0
  291 root      20   0       0      0      0 S  0.0
  292 root       0 -20       0      0      0 S  0.0
  293 root     -51   0       0      0      0 S  0.0
  295 root       0 -20       0      0      0 S  0.0
  322 root       0 -20       0      0      0 S  0.0
  369 root       0 -20       0      0      0 S  0.0
  370 root       0 -20       0      0      0 S  0.0
  379 root       0 -20       0      0      0 S  0.0
  380 root       0 -20       0      0      0 S  0.0
  393 root       0 -20       0      0      0 S  0.0
  394 root       0 -20       0      0      0 S  0.0
  395 root       0 -20       0      0      0 S  0.0
  396 root       0 -20       0      0      0 S  0.0
  397 root       0 -20       0      0      0 S  0.0
  398 root       0 -20       0      0      0 S  0.0
  399 root       0 -20       0      0      0 S  0.0
  400 root       0 -20       0      0      0 S  0.0
  401 root       0 -20       0      0      0 S  0.0
  402 root       0 -20       0      0      0 S  0.0
  403 root      20   0       0      0      0 S  0.0
  486 root      20   0   37596    868    848 S  0.0
  503 root      20   0  127376      0      0 S  0.0
  523 root      20   0   48900    504    204 S  0.0
  601 root       0 -20       0      0      0 S  0.0
  603 root       0 -20       0      0      0 S  0.0
  605 root       0 -20       0      0      0 S  0.0
  607 root       0 -20       0      0      0 S  0.0
  608 root       0 -20       0      0      0 S  0.0
  610 root       0 -20       0      0      0 S  0.0
  612 root       0 -20       0      0      0 S  0.0
  615 root      20   0       0      0      0 S  0.0
  658 root      16  -4   55532     32      0 S  0.0
  660 root      12  -8   84556     20      0 S  0.0
  662 root      16  -4   55620    100     92 S  0.0
  664 root       0 -20       0      0      0 S  0.0
